[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۱۹:۵۳:۰۷ (+0330)‬] Backup backup_20250722195307 created at 
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۰:۲۵:۴۰ (+0330)‬] Backup backup_20250722202540 created at /Desktop/operating-system-project/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۰:۲۷:۲۶ (+0330)‬] Backup backup_20250722202726 created at Home/Desktop/operating-system-project/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۰:۲۸:۰۲ (+0330)‬] Backup backup_20250722202802 created at /Home/Desktop/operating-system-project/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۰:۳۰:۰۳ (+0330)‬] Backup backup_20250722203003 created at /home/Desktop/operating-system-project/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۰:۳۰:۵۴ (+0330)‬] Backup backup_20250722203054 created at /home/katy/Desktop/operating-system-project/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۱:۰۲:۱۸ (+0330)‬] Backup backup_20250722210218 created at /home/katy/Desktop/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۱:۱۱:۰۲ (+0330)‬] Backup backup_20250722211102 created at /home/katy/Desktop/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۱:۴۹:۵۷ (+0330)‬] Backup backup_20250722214957 created at /home/katy/Desktop/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۱:۵۰:۵۴ (+0330)‬] Backup backup_20250722215054 created at /home/katy/Desktop/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۲:۱۵:۲۹ (+0330)‬] Backup backup_20250722221529 created at /home/katy/Desktop/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۲:۲۱:۰۲ (+0330)‬] Backup backup_20250722222102 created at /home/katy/Desktop/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۲:۲۱:۵۵ (+0330)‬] Backup backup_20250722222155 created at /home/katy/Desktop/Backup
[‫سه‌شنبه ۲۲ جولای ۲۵، ساعات ۲۳:۱۹:۲۶ (+0330)‬] Backup backup_20250722231926 created at /home/katy/Desktop/Backup
